,record,precinct,ballot_style,rank1,rank2,rank3,rank4,rank5,does_not_rank_any_continuing_candidate,highest_continuing_rank,rank_choice_in_continuing_candidate_set,overvote,two_consecutive_skipped_rankings,exhausted,highest_ranked_continuing_candidate
18032,36871,Brooks,CAN Ballot Style 65,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
18197,37178,Brooks,CAN Ballot Style 65,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
18462,37733,Islesboro,CAN Ballot Style 156,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
18485,37770,Islesboro,CAN Ballot Style 156,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
18876,38580,Belfast W1,CAN Ballot Style 42,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
19143,39101,Belfast W1,CAN Ballot Style 42,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
19371,39530,Belfast W1,CAN Ballot Style 42,undervote,"Hoar, William R.S.",undervote,undervote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
20022,40819,Belfast W1,CAN Ballot Style 42,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
20394,41597,Belfast W1,CAN Ballot Style 42,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
20716,42249,Belfast W1,CAN Ballot Style 42,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
21258,43303,Pittsfield,CAN Ballot Style 218,undervote,"REP Poliquin, Bruce",overvote,"DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
21899,44580,Pittsfield,CAN Ballot Style 218,undervote,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
23859,48519,Otisfield,CAN Ballot Style 213,undervote,"Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.",False,2,False,False,False,False,"Bond, Tiffany L."
24900,50598,Saint Albans,CAN Ballot Style 76,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
24923,50652,Saint Albans,CAN Ballot Style 76,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
25525,51882,Saint Albans,CAN Ballot Style 76,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
26624,54050,Skowhegan,CAN Ballot Style 257,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
26793,54408,Skowhegan,CAN Ballot Style 257,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",False,2,False,False,False,False,"REP Poliquin, Bruce"
26887,54602,Skowhegan,CAN Ballot Style 257,undervote,"DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
28560,57948,Madison W1,CAN Ballot Style 186,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
29214,59264,Skowhegan,CAN Ballot Style 257,undervote,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"Hoar, William R.S."
29996,60771,Fairfield,CAN Ballot Style 125,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
30224,61227,Fairfield,CAN Ballot Style 125,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
30402,61590,Fairfield,CAN Ballot Style 125,undervote,"Bond, Tiffany L.","Hoar, William R.S.",undervote,overvote,False,2,False,False,False,False,"Bond, Tiffany L."
30933,62713,Fairfield,CAN Ballot Style 125,undervote,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
31129,63124,Fairfield,CAN Ballot Style 125,undervote,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce",False,2,False,False,False,False,"Bond, Tiffany L."
31331,63496,Fairfield,CAN Ballot Style 125,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
31339,63511,Fairfield,CAN Ballot Style 125,undervote,"REP Poliquin, Bruce",undervote,undervote,"DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
31777,64402,Fairfield,CAN Ballot Style 125,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
32205,65238,Skowhegan,CAN Ballot Style 257,undervote,"Bond, Tiffany L.","REP Poliquin, Bruce","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"Bond, Tiffany L."
32438,65695,Skowhegan,CAN Ballot Style 257,undervote,"Hoar, William R.S.",undervote,"DEM Golden, Jared F.","REP Poliquin, Bruce",False,2,False,False,False,False,"Hoar, William R.S."
32784,66392,Skowhegan,CAN Ballot Style 257,undervote,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce",False,2,False,False,False,False,"Hoar, William R.S."
32896,66611,Skowhegan,CAN Ballot Style 257,undervote,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce",False,2,False,False,False,False,"Hoar, William R.S."
35214,71243,Norridgewock,CAN Ballot Style 187,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
35421,71661,Norridgewock,CAN Ballot Style 187,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
35435,71687,Norridgewock,CAN Ballot Style 187,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
35935,72693,Norridgewock,CAN Ballot Style 187,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
36161,73136,Norridgewock,CAN Ballot Style 187,undervote,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce",False,2,False,False,False,False,"Hoar, William R.S."
37849,76545,Hartland,CAN Ballot Style 149,undervote,"Hoar, William R.S.",undervote,"REP Poliquin, Bruce",overvote,False,2,False,False,False,False,"Hoar, William R.S."
38368,77540,Greenville,CAN Ballot Style 39,undervote,"Hoar, William R.S.","REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"Hoar, William R.S."
38600,78018,Greenville,CAN Ballot Style 39,undervote,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
39693,80235,Anson,CAN Ballot Style 14,undervote,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"Hoar, William R.S."
39854,80554,Anson,CAN Ballot Style 14,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
40957,82738,Dover-Foxcroft,CAN Ballot Style 21,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.",undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
41402,83645,Dover-Foxcroft,CAN Ballot Style 21,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
41570,83946,Dover-Foxcroft,CAN Ballot Style 21,undervote,"REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
41928,84680,Sangerville,CAN Ballot Style 1,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
42630,86100,Plymouth,CAN Ballot Style 100,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
44315,89458,Orrington,CAN Ballot Style 211,undervote,"Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F.",False,2,False,False,False,False,"Bond, Tiffany L."
44884,90572,Orrington,CAN Ballot Style 211,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
45438,91671,Orrington,CAN Ballot Style 211,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
46441,93721,Orono All,CAN Ballot Style 209,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
49543,99890,Oakland W1,CAN Ballot Style 204,undervote,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
49569,99951,Oakland W1,CAN Ballot Style 205,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
49676,100204,Oakland W1,CAN Ballot Style 204,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
50073,100946,Oakland W1,CAN Ballot Style 205,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
50178,101158,Oakland W1,CAN Ballot Style 205,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
50270,101332,Oakland W1,CAN Ballot Style 204,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
51258,103349,Orono All,CAN Ballot Style 210,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
51538,103890,Orono All,CAN Ballot Style 209,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
52293,105389,Oakland W1,CAN Ballot Style 205,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,False,2,False,False,False,False,"Bond, Tiffany L."
53581,107970,Oakland W1,CAN Ballot Style 205,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
53593,107998,Oakland W1,CAN Ballot Style 204,undervote,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"Bond, Tiffany L."
54059,108958,Old Town/Argyle Twp,CAN Ballot Style 208,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
54434,109728,Old Town/Argyle Twp,CAN Ballot Style 208,undervote,"Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F.",False,2,False,False,False,False,"Bond, Tiffany L."
54727,110332,Old Town/Argyle Twp,CAN Ballot Style 208,undervote,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce",False,2,False,False,False,False,"Bond, Tiffany L."
54874,110608,Old Town/Argyle Twp,CAN Ballot Style 208,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
56133,113039,Old Town/Argyle Twp,CAN Ballot Style 208,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
56824,114474,Old Town/Argyle Twp,CAN Ballot Style 208,undervote,"DEM Golden, Jared F.","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",False,2,False,False,False,False,"DEM Golden, Jared F."
57387,115588,Newburgh,CAN Ballot Style 147,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
