,record,precinct,ballot_style,rank1,rank2,rank3,rank4,rank5,does_not_rank_any_continuing_candidate,highest_continuing_rank,rank_choice_in_continuing_candidate_set,overvote,two_consecutive_skipped_rankings,exhausted,highest_ranked_continuing_candidate
85340,171242,Hudson,CAN Ballot Style 101,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",False,2,False,False,False,False,"REP Poliquin, Bruce"
85490,171541,Hudson,CAN Ballot Style 101,undervote,"Hoar, William R.S.",undervote,undervote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
85596,171759,Hudson,CAN Ballot Style 101,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"Bond, Tiffany L."
86024,172778,Hampden,CAN Ballot Style 147,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
86973,174769,Hampden,CAN Ballot Style 147,undervote,"DEM Golden, Jared F.",undervote,"REP Poliquin, Bruce",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
87486,175777,Holden,CAN Ballot Style 61,undervote,"REP Poliquin, Bruce",undervote,"Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
88603,178020,Holden,CAN Ballot Style 61,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
88629,178075,Holden,CAN Ballot Style 61,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
88866,178564,Holden,CAN Ballot Style 61,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",False,2,False,False,False,False,"REP Poliquin, Bruce"
88910,178636,Holden,CAN Ballot Style 61,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
90134,181078,Greenbush,CAN Ballot Style 120,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce","Hoar, William R.S.",False,2,False,False,False,False,"Bond, Tiffany L."
90341,181486,Greenbush,CAN Ballot Style 120,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,False,2,False,False,False,False,"Bond, Tiffany L."
90448,181702,Greenbush,CAN Ballot Style 120,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
92245,185200,Glenburn,CAN Ballot Style 136,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
92382,185490,Glenburn,CAN Ballot Style 136,undervote,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"Bond, Tiffany L."
92966,186656,Glenburn,CAN Ballot Style 136,undervote,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce",False,2,False,False,False,False,"Hoar, William R.S."
93102,186903,Glenburn,CAN Ballot Style 136,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
94107,188892,Enfield,CAN Ballot Style 123,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
95247,191205,Eddington,CAN Ballot Style 61,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
95892,192499,Etna W1,CAN Ballot Style 83,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",False,2,False,False,False,False,"REP Poliquin, Bruce"
96200,193098,Etna W1,CAN Ballot Style 100,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
97421,195569,Dexter,CAN Ballot Style 93,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
97454,195633,Dexter,CAN Ballot Style 93,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
97504,195732,Dexter,CAN Ballot Style 93,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
97553,195812,Dexter,CAN Ballot Style 93,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
98165,197050,Corinth,CAN Ballot Style 101,undervote,"Hoar, William R.S.",undervote,overvote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
98868,198436,Corinth,CAN Ballot Style 101,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
99760,200235,Bangor W1,CAN Ballot Style 37,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
100363,201457,Bangor W1,CAN Ballot Style 34,undervote,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce",False,2,False,False,False,False,"Bond, Tiffany L."
101507,203732,Bangor W1,CAN Ballot Style 34,undervote,"Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
101980,204655,Corinna,CAN Ballot Style 100,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
103926,208563,Carmel,CAN Ballot Style 83,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"Bond, Tiffany L."
104527,209751,Bangor W1,CAN Ballot Style 34,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
104746,210193,Bangor W1,CAN Ballot Style 34,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
105109,210938,Bangor W1,CAN Ballot Style 35,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
107041,214830,Bangor W1,CAN Ballot Style 34,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
107639,216020,Bangor W1,CAN Ballot Style 35,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
107800,216322,Bangor W1,CAN Ballot Style 37,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
108625,218147,Bangor W1,CAN Ballot Style 34,undervote,"Hoar, William R.S.","Bond, Tiffany L.",undervote,"DEM Golden, Jared F.",False,2,False,False,False,False,"Hoar, William R.S."
109027,219391,Bangor W1,CAN Ballot Style 37,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
109562,221002,Brewer W1,CAN Ballot Style 60,undervote,"Hoar, William R.S.",undervote,undervote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
110252,222546,Brewer W1,CAN Ballot Style 60,undervote,"Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F.",False,2,False,False,False,False,"Bond, Tiffany L."
110541,223245,Brewer W1,CAN Ballot Style 60,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
110592,223371,Brewer W1,CAN Ballot Style 60,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",False,2,False,False,False,False,"REP Poliquin, Bruce"
110638,223458,Brewer W1,CAN Ballot Style 60,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
111229,224771,Brewer W1,CAN Ballot Style 60,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
111439,225159,Bangor W1,CAN Ballot Style 34,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",False,2,False,False,False,False,"REP Poliquin, Bruce"
111973,226047,Bangor W1,CAN Ballot Style 37,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
112595,227141,Bangor W1,CAN Ballot Style 35,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
112685,227315,Bangor W1,CAN Ballot Style 34,undervote,"Hoar, William R.S.",overvote,"DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"Hoar, William R.S."
113009,227856,Bangor W1,CAN Ballot Style 35,undervote,"DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.",False,2,False,False,False,False,"DEM Golden, Jared F."
113081,227979,Bangor W1,CAN Ballot Style 35,undervote,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
113729,229065,Bangor W1,CAN Ballot Style 37,undervote,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
114432,230256,Bangor W1,CAN Ballot Style 36,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
114610,230542,Bangor W1,CAN Ballot Style 34,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
114797,230881,Bangor W1,CAN Ballot Style 36,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
115471,232220,Bradley,CAN Ballot Style 58,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
115921,233100,Woodstock,CAN Ballot Style 269,undervote,"REP Poliquin, Bruce","Hoar, William R.S.",undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
116661,234608,Waterford,CAN Ballot Style 270,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
117397,236071,Rumford,CAN Ballot Style 191,undervote,"REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
117865,237023,Rumford,CAN Ballot Style 191,undervote,"Hoar, William R.S.",undervote,undervote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
117948,237186,West Paris,CAN Ballot Style 288,undervote,"Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce","DEM Golden, Jared F.",False,2,False,False,False,False,"Hoar, William R.S."
118056,237387,West Paris,CAN Ballot Style 288,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"Bond, Tiffany L."
118136,237556,West Paris,CAN Ballot Style 288,undervote,"REP Poliquin, Bruce","REP Poliquin, Bruce",undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
118338,237971,West Paris,CAN Ballot Style 288,undervote,"Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.",False,2,False,False,False,False,"Bond, Tiffany L."
118989,239245,Rumford,CAN Ballot Style 191,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
119259,239794,Rumford,CAN Ballot Style 191,undervote,"Hoar, William R.S.","REP Poliquin, Bruce","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"Hoar, William R.S."
119720,240721,Sumner,CAN Ballot Style 269,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
119755,240784,Norway,CAN Ballot Style 203,undervote,"DEM Golden, Jared F.",overvote,"Bond, Tiffany L.",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
122098,245478,Rumford,CAN Ballot Style 191,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
122913,247121,Norway,CAN Ballot Style 203,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
123958,249217,Porter,CAN Ballot Style 66,undervote,"Hoar, William R.S.",undervote,undervote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
124054,249387,Porter,CAN Ballot Style 66,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
124871,251100,Paris,CAN Ballot Style 216,undervote,"Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F.",False,2,False,False,False,False,"Bond, Tiffany L."
124991,251352,Paris,CAN Ballot Style 216,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
125051,251474,Paris,CAN Ballot Style 216,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce",undervote,False,2,False,False,False,False,"Bond, Tiffany L."
125322,252010,Paris,CAN Ballot Style 216,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
125343,252044,Paris,CAN Ballot Style 216,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
125371,252090,Paris,CAN Ballot Style 216,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
127477,256184,Mexico,CAN Ballot Style 79,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
127887,257030,Mexico,CAN Ballot Style 79,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
128510,258285,Oxford,CAN Ballot Style 213,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
128792,258868,Oxford,CAN Ballot Style 213,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
129039,259358,Greenwood,CAN Ballot Style 3,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
129083,259450,Greenwood,CAN Ballot Style 3,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",False,2,False,False,False,False,"REP Poliquin, Bruce"
129965,261216,Hiram,CAN Ballot Style 66,undervote,"Bond, Tiffany L.","Hoar, William R.S.",undervote,"DEM Golden, Jared F.",False,2,False,False,False,False,"Bond, Tiffany L."
130230,261735,Fryeburg,CAN Ballot Style 66,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
130790,262840,Fryeburg,CAN Ballot Style 66,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
131192,263673,Fryeburg,CAN Ballot Style 66,undervote,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
131949,265134,Dixfield,CAN Ballot Style 79,undervote,"REP Poliquin, Bruce",undervote,"DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
132236,265759,Dixfield,CAN Ballot Style 79,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
132276,265835,Dixfield,CAN Ballot Style 79,undervote,"REP Poliquin, Bruce","Bond, Tiffany L.",undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
132458,266188,Dixfield,CAN Ballot Style 79,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
132883,267045,Buckfield,CAN Ballot Style 70,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
133157,267591,Buckfield,CAN Ballot Style 70,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
133361,267989,Buckfield,CAN Ballot Style 70,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
134117,269533,Denmark,CAN Ballot Style 114,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
136018,273342,Brownfield,CAN Ballot Style 66,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
136218,273722,Brownfield,CAN Ballot Style 66,undervote,"Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
138264,277833,Litchfield,CAN Ballot Style 179,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
138426,278153,Litchfield,CAN Ballot Style 179,undervote,"REP Poliquin, Bruce","Bond, Tiffany L.",undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
139918,281155,Monmouth W1,CAN Ballot Style 194,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
141453,284205,Ellsworth W4,CAN Ballot Style 122,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
141634,284573,Ellsworth W4,CAN Ballot Style 122,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
141772,284854,Ellsworth W4,CAN Ballot Style 122,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
143727,288765,Albion,CAN Ballot Style 5,undervote,"REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
143887,289069,Ellsworth All/Fletcher's Landing,CAN Ballot Style 122,undervote,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"Bond, Tiffany L."
145206,291712,Penobscot,CAN Ballot Style 112,undervote,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
147603,296515,Bar Harbor,CAN Ballot Style 38,undervote,"Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
149429,300157,Bar Harbor,CAN Ballot Style 38,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
149892,301101,Stonington,CAN Ballot Style 113,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
151253,303835,Sedgwick,CAN Ballot Style 64,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
151476,304280,Sedgwick,CAN Ballot Style 64,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
153098,307463,Bucksport,CAN Ballot Style 71,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"Bond, Tiffany L."
153566,308433,Bucksport,CAN Ballot Style 71,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
153800,308909,Bucksport,CAN Ballot Style 71,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
154146,309602,Orland,CAN Ballot Style 112,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
154909,311131,Orland,CAN Ballot Style 112,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
155515,312376,Dedham,CAN Ballot Style 112,undervote,"Hoar, William R.S.",undervote,undervote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
155837,313001,Dedham,CAN Ballot Style 112,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
156121,313547,Dedham,CAN Ballot Style 112,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
156735,314750,Wilton,CAN Ballot Style 97,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
157768,316866,Wilton,CAN Ballot Style 97,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
157828,317004,Wilton,CAN Ballot Style 97,undervote,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"Hoar, William R.S."
158002,317320,Wilton,CAN Ballot Style 97,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
159119,319555,Strong/Freeman Twp/Salem Twp,CAN Ballot Style 154,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
159149,319615,New Sharon,CAN Ballot Style 129,undervote,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
159387,320098,New Sharon,CAN Ballot Style 129,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
159904,321112,New Sharon,CAN Ballot Style 129,undervote,"Hoar, William R.S.",undervote,undervote,undervote,False,2,False,False,False,False,"Hoar, William R.S."
160317,321955,Jay,CAN Ballot Style 157,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
160399,322117,Jay,CAN Ballot Style 157,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
161945,325247,Farmington,CAN Ballot Style 129,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.",undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
162178,325704,Farmington,CAN Ballot Style 129,undervote,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
162595,326531,Farmington,CAN Ballot Style 129,undervote,"Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.",False,2,False,False,False,False,"Hoar, William R.S."
162931,327210,Farmington,CAN Ballot Style 129,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
163324,327974,Farmington,CAN Ballot Style 129,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",False,2,False,False,False,False,"REP Poliquin, Bruce"
163882,329061,Jay,CAN Ballot Style 157,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
164317,329955,Kingfield,CAN Ballot Style 31,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,False,2,False,False,False,False,"Bond, Tiffany L."
164952,331207,Jay,CAN Ballot Style 157,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
165271,331859,Farmington,CAN Ballot Style 129,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",False,2,False,False,False,False,"REP Poliquin, Bruce"
165463,332247,Farmington,CAN Ballot Style 129,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
166387,334059,Farmington,CAN Ballot Style 129,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
166517,334356,Farmington,CAN Ballot Style 129,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
167599,336490,Presque Isle W1,CAN Ballot Style 237,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
167922,337148,Presque Isle W1,CAN Ballot Style 237,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
168654,338636,Presque Isle W1,CAN Ballot Style 237,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",False,2,False,False,False,False,"REP Poliquin, Bruce"
168680,338683,Presque Isle W1,CAN Ballot Style 237,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
169008,339371,Presque Isle W1,CAN Ballot Style 238,undervote,"Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.",False,2,False,False,False,False,"Bond, Tiffany L."
169250,339850,Presque Isle W1,CAN Ballot Style 237,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
170147,341619,Woodland,CAN Ballot Style 297,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
170619,342568,Mapleton,CAN Ballot Style 89,undervote,"REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
170623,342577,Mapleton,CAN Ballot Style 89,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
170767,342891,Mapleton,CAN Ballot Style 89,undervote,"DEM Golden, Jared F.","REP Poliquin, Bruce",undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
171521,344379,Mapleton,CAN Ballot Style 89,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",False,2,False,False,False,False,"REP Poliquin, Bruce"
171542,344411,Mapleton,CAN Ballot Style 89,undervote,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"Bond, Tiffany L."
